Entity,Code,Year,Cumulative CO₂ emissions including land-use change
World,OWID_WRL,2012,2250940400000
World,OWID_WRL,2013,2292535500000
World,OWID_WRL,2014,2334411200000
World,OWID_WRL,2015,2376327200000
World,OWID_WRL,2016,2417096700000
World,OWID_WRL,2017,2458379000000
World,OWID_WRL,2018,2499995200000
World,OWID_WRL,2019,2541969000000
World,OWID_WRL,2020,2581643700000
World,OWID_WRL,2021,2623167500000
World,OWID_WRL,2022,2665480700000
World,OWID_WRL,2023,2708320300000
World,OWID_WRL,2024,2751504300000
